,name,university,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission,สาขาวิชา,อัตราการได้งานทำ,ค่ามัธยฐานเงินเดือน
20,วศ.บ. สาขาวิชาวิศวกรรมเคมี (ภาษาไทย พิเศษ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมเคมี,B.Eng. (Chemical Engineering),ภาษาไทย พิเศษ,บางเขน,,,,รับ 20 คน,รับ 27 คน,รับ 39 คน,ไม่เปิดรับสมัครในรอบนี้,,,
21,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย ปกติ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล,B.Eng. (Mechanical Engineering),ภาษาไทย ปกติ,บางเขน,,,,รับ 30 คน,รับ 32 คน,รับ 21 คน,ไม่เปิดรับสมัครในรอบนี้,,,
22,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย พิเศษ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล,B.Eng. (Mechanical Engineering),ภาษาไทย พิเศษ,บางเขน,,,,รับ 10 คน,รับ 26 คน,รับ 35 คน,ไม่เปิดรับสมัครในรอบนี้,,,
23,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล (นานาชาติ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล,B.Eng. (Mechanical Engineering) (International Program),นานาชาติ,บางเขน,,,,รับ 35 คน,รับ 20 คน,รับ 30 คน,รับ 10 คน,,,
24,วศ.บ. สาขาวิชาวิศวกรรมซอฟต์แวร์และความรู้ (นานาชาติ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมซอฟต์แวร์และความรู้,B.Eng. (Software and Knowledge Engineering) (International Program),นานาชาติ,บางเขน,,,,รับ 40 คน,รับ 16 คน,รับ 29 คน,ไม่เปิดรับสมัครในรอบนี้,,,
25,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า,B.Eng. (Electrical Engineering),ภาษาไทย ปกติ,บางเขน,,,,รับ 36 คน,,รับ 20 คน,ไม่เปิดรับสมัครในรอบนี้,,,
26,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาไทย พิเศษ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า,B.Eng. (Electrical Engineering),ภาษาไทย พิเศษ,บางเขน,,,,รับ 15 คน,รับ 20 คน,รับ 38 คน,ไม่เปิดรับสมัครในรอบนี้,,,
27,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า (ภาษาต่างประเทศ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า,B.Eng. (Electrical Engineering),ภาษาต่างประเทศ,บางเขน,,,,รับ 30 คน,รับ 17 คน,รับ 30 คน,รับ 10 คน,,,
28,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย ปกติ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต,B.Eng. (Electrical-Mechanical Manufacturing Engineering),ภาษาไทย ปกติ,บางเขน,,,,รับ 14 คน,,รับ 12 คน,ไม่เปิดรับสมัครในรอบนี้,,,
29,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาษาไทย พิเศษ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้าเครื่องกลการผลิต,B.Eng. (Electrical-Mechanical Manufacturing Engineering),ภาษาไทย พิเศษ,บางเขน,,,,รับ 8 คน,รับ 15 คน,รับ 23 คน,ไม่เปิดรับสมัครในรอบนี้,,,
