จังหวัด,ชื่อสถานศึกษา,LATITUDE,LONGITUDE
กาญจนบุรี,มหาวิทยาลัยเวสเทิร์น,14.347636,99.808374
กาญจนบุรี,มหาวิทยาลัยเวสเทิร์น กาญจนบุรี, -, -
กาญจนบุรี,มหาวิทยาลัยราชภัฏกาญจนบุรี,14.061557,99.424813
กาญจนบุรี,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาลัยสงฆ์กาญจนบุรี ศรีไพบูลย์, -, -
กาฬสินธุ์,มหาวิทยาลัยกาฬสินธุ์,16.45327,99.514097
กาฬสินธุ์,มหาวิทยาลัยมหามกุฏราชวิทยาลัย วิทยาลัยศาสนศาสตร์เฉลิมพระเกียรติกาฬสินธุ์,16.440661,103.521571
กำแพงเพชร,มหาวิทยาลัยราชภัฏกำแพงเพชร,16.452731,99.514484
กำแพงเพชร,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาลัยสงฆ์กำแพงเพชร, -, -
ขอนแก่น,มหาวิทยาลัยขอนแก่น,16.465332,102.819955
ขอนแก่น,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดขอนแก่น,16.055026,102.78934
ขอนแก่น,มหาวิทยาลัยศรีปทุม วิทยาเขตขอนแก่น,16.427148,102.852707
ขอนแก่น,มหาวิทยาลัยภาคตะวันออกเฉียงเหนือ,16.431958,102.81719
ขอนแก่น,วิทยาลัยบัณฑิตเอเชีย,16.43505,102.86077
ขอนแก่น,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาเขตขอนแก่น,16.4692844,102.942446
ขอนแก่น,มหาวิทยาลัยมหามกุฏราชวิทยาลัย วิทยาเขตศรีล้านช้าง,17.500206,101.735608
ขอนแก่น,มหาวิทยาลัยมหามกุฏราชวิทยาลัย วิทยาเขตอีสาน,16.460777,102.854261
ขอนแก่น,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน วิทยาเขตขอนแก่น,16.428301,102.863572
ขอนแก่น,วิทยาลัยพยาบาลบรมราชชนนี ขอนแก่น,16.4395572,102.765202
